dataset_id,source_record,pmid,cell_type,label,query,query_index,n_pmids_found,n_pmids_returned
NCBI_raw_collection,hiai_tcells_ncbi_articles_exact_title_abstract_blood_cells.csv,31992596,CD8aa,CD8aa,"(homo sapiens[Mesh]) AND (Blood Cells[Mesh]) AND (""CD8aa""[Title/Abstract] OR ""CD8aas""[Title/Abstract])",0,2,2
NCBI_raw_collection,hiai_tcells_ncbi_articles_exact_title_abstract_blood_cells.csv,41624883,CD8aa,CD8aa,"(homo sapiens[Mesh]) AND (Blood Cells[Mesh]) AND (""CD8aa""[Title/Abstract] OR ""CD8aas""[Title/Abstract])",0,2,2
NCBI_raw_collection,hiai_tcells_ncbi_articles_exact_title_abstract_blood_cells.csv,10064188,DN T cell,DN T cell,"(homo sapiens[Mesh]) AND (Blood Cells[Mesh]) AND (""DN T cell""[Title/Abstract] OR ""DN T cells""[Title/Abstract])",0,160,160
NCBI_raw_collection,hiai_tcells_ncbi_articles_exact_title_abstract_blood_cells.csv,10229269,DN T cell,DN T cell,"(homo sapiens[Mesh]) AND (Blood Cells[Mesh]) AND (""DN T cell""[Title/Abstract] OR ""DN T cells""[Title/Abstract])",0,160,160
NCBI_raw_collection,hiai_tcells_ncbi_articles_exact_title_abstract_blood_cells.csv,10329847,DN T cell,DN T cell,"(homo sapiens[Mesh]) AND (Blood Cells[Mesh]) AND (""DN T cell""[Title/Abstract] OR ""DN T cells""[Title/Abstract])",0,160,160
NCBI_raw_collection,hiai_tcells_ncbi_articles_exact_title_abstract_blood_cells.csv,10377186,DN T cell,DN T cell,"(homo sapiens[Mesh]) AND (Blood Cells[Mesh]) AND (""DN T cell""[Title/Abstract] OR ""DN T cells""[Title/Abstract])",0,160,160
NCBI_raw_collection,hiai_tcells_ncbi_articles_exact_title_abstract_blood_cells.csv,10384129,DN T cell,DN T cell,"(homo sapiens[Mesh]) AND (Blood Cells[Mesh]) AND (""DN T cell""[Title/Abstract] OR ""DN T cells""[Title/Abstract])",0,160,160
NCBI_raw_collection,hiai_tcells_ncbi_articles_exact_title_abstract_blood_cells.csv,10464168,DN T cell,DN T cell,"(homo sapiens[Mesh]) AND (Blood Cells[Mesh]) AND (""DN T cell""[Title/Abstract] OR ""DN T cells""[Title/Abstract])",0,160,160
NCBI_raw_collection,hiai_tcells_ncbi_articles_exact_title_abstract_blood_cells.csv,10480554,DN T cell,DN T cell,"(homo sapiens[Mesh]) AND (Blood Cells[Mesh]) AND (""DN T cell""[Title/Abstract] OR ""DN T cells""[Title/Abstract])",0,160,160
NCBI_raw_collection,hiai_tcells_ncbi_articles_exact_title_abstract_blood_cells.csv,10518558,DN T cell,DN T cell,"(homo sapiens[Mesh]) AND (Blood Cells[Mesh]) AND (""DN T cell""[Title/Abstract] OR ""DN T cells""[Title/Abstract])",0,160,160
NCBI_raw_collection,hiai_tcells_ncbi_articles_exact_title_abstract_blood_cells.csv,10691910,DN T cell,DN T cell,"(homo sapiens[Mesh]) AND (Blood Cells[Mesh]) AND (""DN T cell""[Title/Abstract] OR ""DN T cells""[Title/Abstract])",0,160,160
NCBI_raw_collection,hiai_tcells_ncbi_articles_exact_title_abstract_blood_cells.csv,10811014,DN T cell,DN T cell,"(homo sapiens[Mesh]) AND (Blood Cells[Mesh]) AND (""DN T cell""[Title/Abstract] OR ""DN T cells""[Title/Abstract])",0,160,160
NCBI_raw_collection,hiai_tcells_ncbi_articles_exact_title_abstract_blood_cells.csv,10816082,DN T cell,DN T cell,"(homo sapiens[Mesh]) AND (Blood Cells[Mesh]) AND (""DN T cell""[Title/Abstract] OR ""DN T cells""[Title/Abstract])",0,160,160
NCBI_raw_collection,hiai_tcells_ncbi_articles_exact_title_abstract_blood_cells.csv,10836250,DN T cell,DN T cell,"(homo sapiens[Mesh]) AND (Blood Cells[Mesh]) AND (""DN T cell""[Title/Abstract] OR ""DN T cells""[Title/Abstract])",0,160,160
NCBI_raw_collection,hiai_tcells_ncbi_articles_exact_title_abstract_blood_cells.csv,11026443,DN T cell,DN T cell,"(homo sapiens[Mesh]) AND (Blood Cells[Mesh]) AND (""DN T cell""[Title/Abstract] OR ""DN T cells""[Title/Abstract])",0,160,160
NCBI_raw_collection,hiai_tcells_ncbi_articles_exact_title_abstract_blood_cells.csv,11046069,DN T cell,DN T cell,"(homo sapiens[Mesh]) AND (Blood Cells[Mesh]) AND (""DN T cell""[Title/Abstract] OR ""DN T cells""[Title/Abstract])",0,160,160
NCBI_raw_collection,hiai_tcells_ncbi_articles_exact_title_abstract_blood_cells.csv,11269675,DN T cell,DN T cell,"(homo sapiens[Mesh]) AND (Blood Cells[Mesh]) AND (""DN T cell""[Title/Abstract] OR ""DN T cells""[Title/Abstract])",0,160,160
NCBI_raw_collection,hiai_tcells_ncbi_articles_exact_title_abstract_blood_cells.csv,11352245,DN T cell,DN T cell,"(homo sapiens[Mesh]) AND (Blood Cells[Mesh]) AND (""DN T cell""[Title/Abstract] OR ""DN T cells""[Title/Abstract])",0,160,160
NCBI_raw_collection,hiai_tcells_ncbi_articles_exact_title_abstract_blood_cells.csv,11413507,DN T cell,DN T cell,"(homo sapiens[Mesh]) AND (Blood Cells[Mesh]) AND (""DN T cell""[Title/Abstract] OR ""DN T cells""[Title/Abstract])",0,160,160
NCBI_raw_collection,hiai_tcells_ncbi_articles_exact_title_abstract_blood_cells.csv,11777987,DN T cell,DN T cell,"(homo sapiens[Mesh]) AND (Blood Cells[Mesh]) AND (""DN T cell""[Title/Abstract] OR ""DN T cells""[Title/Abstract])",0,160,160
NCBI_raw_collection,hiai_tcells_ncbi_articles_exact_title_abstract_blood_cells.csv,12139945,DN T cell,DN T cell,"(homo sapiens[Mesh]) AND (Blood Cells[Mesh]) AND (""DN T cell""[Title/Abstract] OR ""DN T cells""[Title/Abstract])",0,160,160
NCBI_raw_collection,hiai_tcells_ncbi_articles_exact_title_abstract_blood_cells.csv,12220103,DN T cell,DN T cell,"(homo sapiens[Mesh]) AND (Blood Cells[Mesh]) AND (""DN T cell""[Title/Abstract] OR ""DN T cells""[Title/Abstract])",0,160,160
NCBI_raw_collection,hiai_tcells_ncbi_articles_exact_title_abstract_blood_cells.csv,12220104,DN T cell,DN T cell,"(homo sapiens[Mesh]) AND (Blood Cells[Mesh]) AND (""DN T cell""[Title/Abstract] OR ""DN T cells""[Title/Abstract])",0,160,160
NCBI_raw_collection,hiai_tcells_ncbi_articles_exact_title_abstract_blood_cells.csv,12406097,DN T cell,DN T cell,"(homo sapiens[Mesh]) AND (Blood Cells[Mesh]) AND (""DN T cell""[Title/Abstract] OR ""DN T cells""[Title/Abstract])",0,160,160
